,Buyers,TotalTSS,Traffickers,demand,pctSSCrimRecord,pctTraffickedVsNontrafficked
base_adult_recovery_rate,22.50587331172999,58.89296707521049,3.9313495932978086,22.505873326921215,118.9261397241322,8.187190942450304
base_youth_recovery_rate,0.720267797400237,2.5752857409744934,0.13576359734145627,0.7202678208941264,1.2996056247065704,1.0742317955811291
buyer_base_trns,57.0255587542976,143.65306868942122,112.05564586210332,170.54920697177775,68.09162425492143,7.660336919498627
buyer_prosecution_culture,52.1744789792702,74.98848265088102,68.76344579543255,87.41503138201547,27.76078200337763,3.74755786897007
childhood_violence,0.446562023283296,0.0781341067552888,0.08377562785760852,0.44656204378369596,2.6194329532818,1.0144203675183532
crim_record_obstacle,173.27938705239052,117.69042919919536,16.66651745246172,173.2793870693891,221.88465075591512,83.04109972561545
csw_acceptance,88.49858544826705,70.47799733182558,54.064822313728136,88.49858550523521,32.28713189451587,5.108124078725819
csw_exhaustion,35.86576927779749,81.23134383782005,7.776622571448607,35.86576924481095,32.31956862466201,11.583337746730638
em_services_capacity,9.780850402194957,26.566892164152573,1.723374099316154,9.7808503718824,50.04356974583777,4.702175177818394
em_services_capacity_youth,0.09322528526824497,0.36889146000526907,0.017595518187395916,0.09322530021130976,0.056065562895770193,0.17321095364087644
em_services_recovery_rate,23.784401724849683,63.14451963472707,3.873476529895057,23.78440175661269,115.55183275103415,5.940729881775186
em_services_recovery_rate_youth,10.517602043207932,35.370217158710666,1.8177476503523433,10.517602013745242,43.04814421659394,10.00284413201332
geographic_csw_normalization,5.208072744786826,12.967496061183011,0.9805666747673395,5.208072802482009,6.268741749512449,2.0864548852124796
lt_services_capacity,2.5213420008474343,9.31645145997531,0.4841872286364804,2.52134199691472,5.432203030915413,4.321169940373587
lt_services_capacity_youth,0.588457007317161,2.3091763801821,0.1110061118620647,0.5884569872332273,0.21367852187759317,1.0910200479347119
lt_services_recovery_rate,0.09793603850657018,0.25028631504048704,0.01829380831331751,0.09793603002539858,0.6065233926397697,0.0451060302565206
lt_services_recovery_rate_youth,0.11923431918083435,0.43942852209145605,0.022317693930093342,0.11923426923099818,0.1811223490044297,0.18954426079467424
org_crime_prevalence,57.794263759057394,192.86384419945563,146.9615512496634,57.7942638188635,55.98283927195964,24.932251608224732
pct_expungement,4.482060593015679,11.940176713987588,0.877914386522868,4.482060553363928,55.553141552243254,3.0644857576463393
post_service_vulnerability,15.064363661039742,39.289455907941026,2.538858562612051,15.064363645148882,78.75905721526941,4.159802676800875
post_service_vulnerability_youth,17.872191022839672,58.89469767059271,2.9108467446205433,17.872191029728068,75.64538757180058,12.596951779470114
prosecution_culture,6.020770515519491,13.670871886863125,13.915096005397551,6.337594646759968,125.1731930833487,1.8341580418440055
prosecution_culture_s,2.8812631931021695,8.814110451360104,0.5343236508463469,2.881263179337383,47.73992880882243,2.651693066881367
prosecution_culture_v,1.458262967883121,5.211540636202204,0.2734385953963104,1.4582629771544342,30.20112238122386,2.1455747765849598
prosecution_culture_youth,2.8088386897533564,9.387102063054368,0.5157257672896632,2.808838732484086,14.437039653364359,3.2073916398138307
prosecution_culture_youth_s,1.5005452406621573,5.049278470387933,0.28015292007346293,1.5005452542576052,7.615599519256082,1.8311389395557511
prosecution_culture_youth_v,0.7478561011777631,2.5418745875472015,0.14009919715408092,0.7478561094481684,3.6924835780929888,0.9596314495182273
prosecution_mult,9.010090515475202,24.173258674787295,1.7437491626977788,9.010090520251957,135.85227145865,6.080178205407505
risk_cross_effect,1.5344268529576135,1.5588293221721612,1.2724611590743664,2.1601792912309143,0.17345292146596583,0.2811335236217524
sb_benefit,284.5648677219273,214.78026278276593,130.10295382016605,284.56486781031776,84.93369766844636,10.310549603194152
sb_trns_risk_weight,1.3524501475954103,5.864872777824552,4.848747703069211,7.804403680468506,1.9319504772989045,0.5401989572293748
ss_desired_profit,8.356919969777051,6.477758660049446,1.530439862719174,8.356920010377118,14.315203806003343,10.71409848704401
ss_trns_pm,21.71652884857631,4.269702908317447,4.194506518147839,21.716528856190877,3.718935123523532,0.7755397856403887
st_recruitment,57.794263759057394,192.86384419945563,146.9615512496634,57.7942638188635,55.98283927195964,24.932251608224732
st_services_capacity,0.9493079236215596,2.3131266349373636,0.17949920647055523,0.9493079805293381,6.2741545626727735,0.369018268369461
st_services_capacity_youth,0.6349137860119723,2.3604634001094293,0.11951837634089389,0.6349137811450565,0.7271964299231376,1.037632815845318
st_services_recovery_rate,0.4458885132665564,1.1399018395806961,0.08351046633682523,0.44588854193040106,2.718524245561214,0.20367929073099247
st_services_recovery_rate_youth,0.7022078243925555,2.6195233904812647,0.1317494176878164,0.7022078164307463,0.850780758212304,1.1440808737069352
trafficked_pct_youth,0.4897514087283371,0.7553396862186064,0.09187089540154394,0.48975138302808513,0.14165606307166442,0.2715593130675738
trafficked_to_nontrafficked_pct,1.6893771570885623,32.95093829441825,0.3194445011998724,1.689377104359146,29.191519180953723,30.04222757124131
trafficker_exposure,32.50381729920083,132.75711643027333,5.198541852307632,32.50381733931249,83.41731905188432,44.36797810524885
trafficking_educ,88.49858544826705,70.47799733182558,54.064822313728136,88.49858550523521,32.28713189451587,5.108124078725819
vulnerable_recidivism,16.949672998904784,43.98003400622395,3.1656175825125725,16.949672941875086,95.99401188442084,8.445764080881526
vulnerable_recidivism_youth,0.35138877697810816,1.9006191933600967,0.06615818138311255,0.3513887651522065,2.1810374944822337,1.1694985945647174
